Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Poland,Ekstraklasa,2012/2013,07/12/2012,17:00,Ruch,Jagiellonia,1,1,D,2.33,3.32,3.4,2.5,3.32,3.4,2.3,3.08,3.12
Poland,Ekstraklasa,2012/2013,07/12/2012,19:45,Slask Wroclaw,Legia,1,0,H,3.56,3.32,2.25,3.6,3.41,2.27,3.32,3.19,2.16
Poland,Ekstraklasa,2012/2013,08/12/2012,12:30,GKS Belchatow,Piast Gliwice,1,3,A,2.56,3.35,2.96,2.65,3.35,3.1,2.44,3.11,2.88
Poland,Ekstraklasa,2012/2013,08/12/2012,14:45,Zaglebie,Wisla,4,1,H,2.42,3.12,3.44,2.46,3.25,3.45,2.34,3.08,3.06
Poland,Ekstraklasa,2012/2013,08/12/2012,17:00,Gornik Z.,Lechia Gdansk,2,0,H,2.17,3.31,3.84,2.25,3.45,3.9,2.04,3.17,3.63
Poland,Ekstraklasa,2012/2013,09/12/2012,13:30,Podbeskidzie,Widzew Lodz,2,2,D,2.85,3.17,2.79,2.85,3.25,2.8,2.72,3.05,2.61
Poland,Ekstraklasa,2012/2013,09/12/2012,16:00,Korona Kielce,Lech Poznan,0,1,A,2.89,3.27,2.68,3.05,3.27,2.68,2.77,3.09,2.53
Poland,Ekstraklasa,2012/2013,10/12/2012,17:30,Polonia Warszawa,Pogon Szczecin,2,0,H,1.71,3.75,5.55,1.75,4,6,1.69,3.5,4.98
Poland,Ekstraklasa,2012/2013,22/02/2013,17:00,Zaglebie,Pogon Szczecin,3,0,H,2.04,3.47,4.05,2.15,3.47,4.05,2.04,3.21,3.62
Poland,Ekstraklasa,2012/2013,22/02/2013,19:45,Polonia Warszawa,Lechia Gdansk,1,1,D,3.14,3.21,2.52,3.15,3.25,2.75,2.83,3.07,2.51
Poland,Ekstraklasa,2012/2013,23/02/2013,12:30,Podbeskidzie,Jagiellonia,4,0,H,3.24,3.29,2.43,3.35,3.35,2.43,3.13,3.12,2.25
Poland,Ekstraklasa,2012/2013,23/02/2013,14:45,Slask Wroclaw,Widzew Lodz,2,1,H,1.95,3.52,4.38,2,3.6,4.8,1.84,3.32,4.22
Poland,Ekstraklasa,2012/2013,23/02/2013,17:00,Korona Kielce,Legia,3,2,H,3.94,3.35,2.11,4.34,3.45,2.11,3.81,3.22,1.96
Poland,Ekstraklasa,2012/2013,24/02/2013,13:30,GKS Belchatow,Wisla,0,0,D,4.59,3.34,1.97,4.59,3.55,1.97,4.14,3.25,1.88
Poland,Ekstraklasa,2012/2013,24/02/2013,16:00,Ruch,Lech Poznan,0,4,A,3.15,3.09,2.61,3.25,3.2,2.61,3,3.02,2.41
Poland,Ekstraklasa,2012/2013,25/02/2013,17:30,Gornik Z.,Piast Gliwice,1,0,H,1.76,3.68,5.38,1.76,4,5.5,1.72,3.44,4.89
Poland,Ekstraklasa,2012/2013,01/03/2013,17:00,Lechia Gdansk,Pogon Szczecin,1,1,D,2.16,3.25,3.92,2.18,3.35,3.92,2.09,3.15,3.52
Poland,Ekstraklasa,2012/2013,01/03/2013,19:45,Lech Poznan,Polonia Warszawa,0,1,A,1.78,3.76,5.09,1.78,3.9,6.3,1.62,3.55,5.64
Poland,Ekstraklasa,2012/2013,02/03/2013,12:30,Ruch,Widzew Lodz,3,0,H,2.6,3.27,2.99,2.65,3.27,3.05,2.51,3.06,2.82
Poland,Ekstraklasa,2012/2013,02/03/2013,14:45,Piast Gliwice,Zaglebie,1,1,D,3.06,3.31,2.52,3.1,3.31,2.88,2.82,3.1,2.5
Poland,Ekstraklasa,2012/2013,02/03/2013,17:30,Legia,GKS Belchatow,0,0,D,1.23,6.54,17.32,1.27,6.54,19,1.22,5.48,14.29
Poland,Ekstraklasa,2012/2013,03/03/2013,13:30,Korona Kielce,Slask Wroclaw,1,1,D,2.68,3.22,2.93,2.85,3.23,2.93,2.59,3.05,2.73
Poland,Ekstraklasa,2012/2013,03/03/2013,16:00,Gornik Z.,Jagiellonia,1,2,A,1.79,3.58,5.33,1.79,3.7,5.63,1.71,3.37,5.04
Poland,Ekstraklasa,2012/2013,04/03/2013,17:30,Wisla,Podbeskidzie,0,0,D,2.06,3.34,4.18,2.06,3.4,4.3,1.94,3.24,3.93
Poland,Ekstraklasa,2012/2013,08/03/2013,17:00,Zaglebie,Jagiellonia,2,1,H,2.04,3.31,4.28,2.06,3.55,4.4,1.93,3.26,3.97
Poland,Ekstraklasa,2012/2013,08/03/2013,19:45,Podbeskidzie,Legia,1,2,A,5.56,3.87,1.7,6,3.9,1.77,4.96,3.52,1.68
Poland,Ekstraklasa,2012/2013,09/03/2013,12:30,GKS Belchatow,Widzew Lodz,0,0,D,2.96,3.13,2.73,3.05,3.2,2.73,2.81,3.04,2.52
Poland,Ekstraklasa,2012/2013,09/03/2013,14:45,Ruch,Slask Wroclaw,1,1,D,2.98,3.25,2.61,2.98,3.25,2.75,2.77,3.09,2.52
Poland,Ekstraklasa,2012/2013,09/03/2013,17:00,Polonia Warszawa,Wisla,1,2,A,2.33,3.26,3.45,2.33,3.4,4,2.16,3.13,3.36
Poland,Ekstraklasa,2012/2013,10/03/2013,13:30,Pogon Szczecin,Piast Gliwice,0,2,A,2.14,3.34,3.89,2.25,3.4,3.89,2.09,3.16,3.52
Poland,Ekstraklasa,2012/2013,10/03/2013,16:00,Gornik Z.,Lech Poznan,0,1,A,2.87,3.04,2.87,2.92,3.2,2.87,2.67,3.01,2.69
Poland,Ekstraklasa,2012/2013,11/03/2013,17:30,Lechia Gdansk,Korona Kielce,3,2,H,2.4,3.05,3.56,2.43,3.25,3.56,2.25,3,3.33
Poland,Ekstraklasa,2012/2013,15/03/2013,17:00,Jagiellonia,Polonia Warszawa,2,0,H,2.58,3.18,3.09,2.62,3.2,3.09,2.48,3.07,2.86
Poland,Ekstraklasa,2012/2013,15/03/2013,19:45,Legia,Gornik Z.,3,0,H,1.61,3.9,6.76,1.65,3.9,6.8,1.57,3.62,6.15
Poland,Ekstraklasa,2012/2013,16/03/2013,12:30,Korona Kielce,Ruch,2,1,H,2.23,3.24,3.76,2.25,3.35,3.8,2.12,3.11,3.51
Poland,Ekstraklasa,2012/2013,16/03/2013,14:45,Widzew Lodz,Zaglebie,0,0,D,2.83,3.14,2.83,2.83,3.25,2.92,2.61,3.07,2.71
Poland,Ekstraklasa,2012/2013,16/03/2013,17:00,Lech Poznan,GKS Belchatow,0,0,D,1.43,4.51,9.75,1.43,4.8,12,1.37,4.16,9.57
Poland,Ekstraklasa,2012/2013,17/03/2013,13:30,Slask Wroclaw,Podbeskidzie,1,1,D,1.65,3.94,6.06,1.73,3.94,6.06,1.64,3.57,5.25
Poland,Ekstraklasa,2012/2013,17/03/2013,16:00,Wisla,Pogon Szczecin,2,0,H,1.89,3.44,4.84,1.91,3.65,5,1.82,3.33,4.34
Poland,Ekstraklasa,2012/2013,18/03/2013,17:30,Piast Gliwice,Lechia Gdansk,2,0,H,2.49,3.03,3.33,2.49,3.2,3.33,2.34,3.06,3.09
Poland,Ekstraklasa,2012/2013,28/03/2013,17:00,Podbeskidzie,Korona Kielce,1,1,D,2.91,3.2,2.71,2.91,3.25,2.75,2.69,3.09,2.62
Poland,Ekstraklasa,2012/2013,28/03/2013,19:30,Gornik Z.,Widzew Lodz,3,1,H,1.84,3.49,5.05,1.91,3.55,5.3,1.81,3.3,4.5
Poland,Ekstraklasa,2012/2013,30/03/2013,12:30,Piast Gliwice,Jagiellonia,1,1,D,2.13,3.33,3.81,2.29,3.33,3.81,2.17,3.12,3.38
